"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 22, 2021","33,211.0","30,852.0","33,631.0","28,991.0","15.97K","7.57%"
"Jan 21, 2021","30,873.0","35,522.0","35,522.0","30,609.0","22.35K","-13.09%"
"Jan 20, 2021","35,521.1","35,915.0","36,263.0","33,447.0","14.14K","-1.22%"
"Jan 19, 2021","35,958.0","36,699.0","37,673.0","35,958.0","9.61K","-2.02%"
"Jan 18, 2021","36,699.0","35,913.0","36,906.0","35,180.0","8.41K","2.22%"
"Jan 17, 2021","35,903.0","36,061.0","36,570.0","33,914.0","9.85K","-0.42%"
"Jan 16, 2021","36,055.0","36,741.0","37,750.0","35,809.0","10.84K","-1.87%"
"Jan 15, 2021","36,741.0","39,145.0","39,476.0","35,268.0","15.55K","-6.20%"
"Jan 14, 2021","39,170.0","37,374.0","39,750.0","37,193.0","12.97K","4.80%"
"Jan 13, 2021","37,375.0","34,106.0","37,418.0","33,160.0","14.89K","9.59%"
"Jan 12, 2021","34,103.0","35,448.0","35,838.6","33,616.0","22.18K","-3.87%"
"Jan 11, 2021","35,476.0","38,226.0","38,226.0","31,842.0","48.04K","-7.19%"
"Jan 10, 2021","38,226.0","40,171.0","41,209.3","37,436.0","19.01K","-4.84%"
"Jan 09, 2021","40,171.0","40,509.0","41,046.0","38,966.0","8.17K","-0.83%"
"Jan 08, 2021","40,509.0","39,407.0","41,616.0","37,723.0","21.79K","2.80%"
"Jan 07, 2021","39,407.0","36,755.0","39,672.0","36,755.0","22.11K","7.22%"
"Jan 06, 2021","36,755.0","33,986.0","36,755.0","33,901.0","18.62K","8.12%"
"Jan 05, 2021","33,996.0","32,020.0","33,996.0","30,979.1","14.48K","6.17%"
"Jan 04, 2021","32,020.0","32,971.0","33,403.0","29,178.0","24.68K","-2.88%"
"Jan 03, 2021","32,971.0","32,183.0","34,253.0","32,110.0","18.91K","2.44%"
"Jan 02, 2021","32,185.0","29,346.0","33,168.0","29,192.0","22.01K","9.67%"
"Jan 01, 2021","29,346.0","28,933.0","29,498.0","28,932.0","8.33K","1.43%"
"Dec 31, 2020","28,933.0","28,880.0","29,133.0","28,358.0","12.22K","0.18%"
"Dec 30, 2020","28,880.0","27,316.0","28,892.0","27,316.0","10.51K","5.73%"
"Dec 29, 2020","27,315.0","27,058.0","27,315.0","25,923.0","8.92K","0.95%"
"Dec 28, 2020","27,058.0","26,241.0","27,308.0","26,241.0","7.60K","3.11%"
"Dec 27, 2020","26,241.0","26,410.0","28,051.1","26,241.0","17.96K","-0.65%"
"Dec 26, 2020","26,412.0","24,717.0","26,577.0","24,566.0","13.15K","6.86%"
"Dec 25, 2020","24,717.0","23,743.0","24,717.0","23,491.0","13.78K","4.14%"
"Dec 24, 2020","23,735.0","23,234.0","23,735.0","22,860.0","4.75K","2.16%"
"Dec 23, 2020","23,234.0","23,805.0","23,916.0","22,917.0","12.07K","-2.40%"
"Dec 22, 2020","23,805.0","22,701.0","23,805.0","22,489.7","7.41K","4.86%"